description,name,price
"Je 2er-PackungVersch. Sorten:
	Je 2 x 70 Tücher","
                        kokett® Feuchtes Toilettenpapier
                    ","
				€ 1,25
			"
Je StückPartikelfiltrierende HalbmaskeAls persönliche Schutzausrüstung (PSA) gemäß PSA-Verordnung (EU) 2016/425 geeignetGeprüft nach EN149:2001+A1:2009Eingenähter Nasenbügel,"
                        Atemschutzmaske FFP2 NR
                    ","
				€ 0,45
			"
Verschiedene Sorten:Umfangreicher Schutz gegen Zahn- und Zahnfleischprobleme600-ml-Flasche,"
                        Listerine Mundspülung 600ml
                    ","
				€ 4,45
			"
"Mit hautverwandtem EuceritFür jeden Hauttypen, jedes Alter und jede GelegenheitCremige Textur und einzigartiger, charakteristischer Duft250-ml-Dose","
                        Nivea Creme 250ml
                    ","
				€ 2,95
			"
"Je 250-ml-FlascheVersch. Sorten:
	","
                        NIVEA Pflegedusche 250 ml
                    ","
				€ 1,55
			"
"Je 400-ml-Flasche48-h-FeuchtigkeitspflegeSorgt für geschmeidige und natürlich schöne HautVerschiedene Sorten:
	","
                        Nivea Body Express Feuchtigkeitslotion/Reichhaltige Milk 400 ml
                    ","
				€ 3,95
			"
"Je 3er-SetVersch. Designs und Größen:
	Kein Medizinprodukt, keine persönliche Schutzausrüstung100 % BaumwolleWiederverwendbar2 Lagen mit 3D-Optik","
                        Textile Mund-Nasen-Masken 3er-Set
                    ","
				€ 3,99
			"
"Je 5er-SetVersch. Farben:
	Kein Medizinprodukt, keine persönliche SchutzausrüstungMit Stoffschlaufe oder Gummiband65 % Polyester, 35 % BaumwolleEinheitsgrößeDoppellagig, Möglichkeit der Platzierung eines Filters","
                        Textile Mund-Nasen-Masken 5er-Set
                    ","
				€ 4,99
			"
Je 300-g-Packung,"
                        BBQ Brioche Burger Buns 300 g
                    ","
				€ 1,29
			"
"Je 300-g-PackungGUT BIO: Bio-Vielfalt, die ständig wächst: Unsere Marke für beste Bio-Qualität aus kontrolliert ökologischer Erzeugung. Mit über 450 Bio-Produkten im Jahr, Tendenz steigendVersch. Sorten:
	","
                        GUT BIO Bio-Tomatensauce 300 g
                    ","
				€ 1,49
			"
"Je 70-g-PackungGUT BIO: Bio-Vielfalt, die ständig wächst: Unsere Marke für beste Bio-Qualität aus kontrolliert ökologischer Erzeugung. Mit über 450 Bio-Produkten im Jahr, Tendenz steigend","
                        GUT BIO Bio-Gewürzspezialitäten 70 g
                    ","
				€ 2,59
			"
"Je 2er-SetVersch. Sets und Farben:
	Kein Medizinprodukt, keine persönliche SchutzausrüstungAus Scuba Material95 % Polyester, 5 % ElasthanHoher TragekomfortMit ausgestanzten Ohrschlaufen","
                        Textile Mund-Nasen-Masken 2er-Set
                    ","
				€ 2,99
			"
Mit Jojoba-Öl und Vitamin EBesondere Feuchtigkeitsformel für belebende FrischeZieht schnell einMacht die Haut weich und geschmeidig200-ml-Dose,"
                        Nivea Soft Erfrischende Feuchtigkeitscreme 200ml
                    ","
				€ 2,95
			"
Je 350-g-Packung,"
                        MEIN VEGGIE TAG Bio-Tofu 350 g
                    ","
				€ 1,79
			"
"Je 250-g-PackungGUT BIO: Bio-Vielfalt, die ständig wächst: Unsere Marke für beste Bio-Qualität aus kontrolliert ökologischer Erzeugung. Mit über 450 Bio-Produkten im Jahr, Tendenz steigend","
                        GUT BIO Bio-Tomatensauce, Vegane Bolognese 250 g
                    ","
				€ 1,49
			"
Je 300-g-Packung2 Stück,"
                        Goldähren Baguettes 300 g
                    ","
				€ 0,45
			"
Je 375-g-Packung,"
                        GOLDÄHREN Kleiner Sandwichtoast 375 g
                    ","
				€ 0,69
			"
"Je 450-g-GlasVersch. Sorten:
	","
                        GRANDESSA Konfitüre 450 g
                    ","
				€ 1,29
			"
Je 375-g-Packung,"
                        GOLDÄHREN Kleiner Sandwichtoast Dinkel 375 g
                    ","
				€ 0,99
			"
Je 250-g-Packung,"
                        GOLDÄHREN Eiweißbrot 250 g
                    ","
				€ 1,29
			"
"Je 750-g-PackungVersch. Sorten: 
	","
                        GUT bio Steinofenbrot 750 g
                    ","
				€ 1,79
			"
"Je 210-g-PackungVorgebacken und schnell servierfertigVerschiedene Sorten:
	Für den Toaster oder GrillIdeale Beilage zum BarbecueZum Einfrieren geeignet","
                        Goldähren Flatbread Sandwich 210 g
                    ","
				€ 1,39
			"
"Je 500-ml-FlascheVersch. Sorten:
	Hygienische Pflege für Zähne und ZahnfleischSorgt für frischen AtemMit Dosierhilfe","
                        eurodont Mundspülung 500 ml
                    ","
				€ 0,75
			"
"Je 300-ml-FlascheVersch. Sorten:
	Hoher Anteil an natürlichen Pflegeölen","
                        OMBIA MED Duschöl 300 ml
                    ","
				€ 1,79
			"
Je 200-g-Packung,"
                        MEIN VEGGIE TAG Bio Vegane Vielfalt 200 g
                    ","
				€ 1,99
			"
